wrapper,category,correct,total,accuracy,avg_tool_wait_latency_s,avg_total_latency_s,avg_cost
nws_forecast,baseline,19,20,0.9500,0.0500,0.0500,0.0040
weatherstack,description_concise,18,20,0.9000,0.1000,0.1000,0.0030
open_meteo,description_vague,17,20,0.8500,0.1500,0.1500,0.0020
noaa_gridpoint,description_jargon,17,20,0.8500,0.2000,0.2000,0.0010
accuweather,data_noisy,6,20,0.3000,0.0500,0.0500,0.0004
weather_gov,data_broken,0,20,0.0000,0.0600,0.0600,0.0003
darksky,data_inverted,1,20,0.0500,0.0700,0.0700,0.0004
openweather,data_verbose,19,20,0.9500,0.0800,0.0800,0.0005
weatherbit,data_minimal,10,20,0.5000,0.0500,0.0500,0.0003
visual_crossing,data_wrong_location,0,20,0.0000,0.0600,0.0600,0.0002
